Source_ID,Study_ID,Source_Summary,FirstAuthor_LastName,Source,Source_Type,DOI,Publication_Year,Data_Specific_Location,Sampling_Methods,Method_Hand_Sorting,Method_Extractant,Method_Under_Feature_Search,Method_Electrical_Octet,Method_Pitfall_Traps,Method_Surface_or_Cast_Counting,Method_Other,Data_Incidence,Data_Abundance,Data_Biomass,Data_Taxa,Data_Species_Specific,Data_Climate,Data_Soil,Habitat_Arable,Habitat_Grassland,Habitat_Wooded,Habitat_Wetland_Upland,Habitat_Brownfield,Habitat_Coastal,Habitat_Freshwater_Shoreline,Habitat_Urban,Habitat_Horticulture,Habitat_Other,Habitat_Notes,Natural_Or_Experimental,Spatial_Extent,General_Location,Country,Number_Of_Sites,Plot_Types_Sampled,First_Sampling_Year,Sampling_Years,Notes
A252,1,"Friend, 1891, Naturalist - Earth-worms of the north of England",Friend,Naturalist,Journal,NA,1891,No,Under features; Surface counting,0,0,1,0,0,1,0,1,0,0,1,,0,0,1,1,NA,NA,NA,NA,1,NA,1,1,"River/stream banks; under droppings; in tree stump at 2000 ft or higher on Cross Fell; manure heaps; in fields where dung is used (could be arable or grass, so have included both); under stones near ponds, especially where cattle congregate",Natural,Multiple site-multiple region,Northern England,England,NA,NA,1890,1890,
A251,2,"Friend, 1892d, Naturalist - New Yorkshire earthworms; with an emended list of North British species ",Friend,Naturalist,Journal,NA,1892,No,Under features; Surface counting,0,0,1,0,0,1,0,1,0,0,0,Bimastos rubidus; Dendrobaena octaedra,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,"""Rich soil; on banks of rivers where plenty of vegetable mould occurs; lake at Clumber",Natural,Multiple site-multiple region,Yorkshire,England,NA,NA,NA,NA,
A250,3,"Friend, 1892c, Naturalist - A new Yorkshire earthworm",Friend,Naturalist,Journal,NA,1892,No,Under features; Surface counting,0,0,1,0,0,1,0,1,0,0,0,Octolasion lacteum,0,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,"""In fields and gardens, under clods or stones"" - Fields could be arable or grass, so both included; garden not specified as vegetable/flower bed or lawn, so both include",Natural,Multiple site-multiple region,Yorkshire,England,NA,NA,NA,NA,
A249,4,"Friend, 1892b, Naturalist - On hybridity among worms",Friend,Naturalist,Journal,NA,1892,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Discussion paper
A237,5,"Friend, 1892a, Proceedings of the Royal Irish Academy - On a new species of earth-worm",Friend,Proceedings of the Royal Irish Academy,Journal,NA,1892,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,1,0,"""Garden"" - not specified as vegetable/flower bed or lawn, so both have been included",Natural,Single site,Dublin,Republic of Ireland,1,1,1892,1892,
A236,6,"Friend, 1893b, The Irish Naturalist - The earthworms of Ireland",Friend,The Irish Naturalist,Journal,NA,1893,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,1,1,1,NA,NA,NA,1,1,1,NA,,Natural,Multiple site-multiple region,Republic of Ireland,Republic of Ireland,8,NA,NA,NA,
A235,7,"Friend, 1893a, Proceedings of the Royal Irish Academy - On some new Irish earthworms",Friend,Proceedings of the Royal Irish Academy,Journal,NA,1893,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,1,0,"Same collection as in 1892a, therefore ""Garden"" - not specified as vegetable/flower bed or lawn, so both have been included",Natural,Multiple site-single region,Dublin; Malahide,Republic of Ireland,3,NA,1892,1892,Same collection as in 1892a
A248,8,"Friend, 1894, The Irish Naturalist - A new Irish earthworm",Friend,The Irish Naturalist,Journal,NA,1984,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Natural,Single site,"Clonmore, County Clare",Republic of Ireland,1,NA,1893,1893,
A247,9,"Friend, 1895, The Irish Naturalist - A new form of Irish earthworm",Friend,The Irish Naturalist,Journal,NA,1985,Yes,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,Eiseniella tetraedra,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Natural,Single site,"Mitchelstown Cave, County Tipperary",Republic of Ireland,1,1,1894,1894,
A234,10,"Friend, 1896a, The Irish Naturalist - Earthworms",Friend,The Irish Naturalist,Journal,NA,1896,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Natural,Single site,County Galway,Republic of Ireland,1,NA,NA,NA,
